anio,mes,dia,fecha_date,fecha,cant_conversaciones,cant_intencion_compra,cant_adquisicion,cant_compra
2020,202008,2020-08-07,2020-08-07 02:00:00,2020080702,0.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 03:00:00,2020080703,0.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 05:00:00,2020080705,1.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 06:00:00,2020080706,1.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 07:00:00,2020080707,3.0,2.0,2.0,0.0
2020,202008,2020-08-07,2020-08-07 09:00:00,2020080709,1.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 11:00:00,2020080711,2.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 12:00:00,2020080712,1.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 13:00:00,2020080713,1.0,2.0,2.0,0.0
2020,202008,2020-08-07,2020-08-07 14:00:00,2020080714,4.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 15:00:00,2020080715,3.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 16:00:00,2020080716,2.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 17:00:00,2020080717,2.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 18:00:00,2020080718,3.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 19:00:00,2020080719,3.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 20:00:00,2020080720,2.0,3.0,3.0,0.0
2020,202008,2020-08-07,2020-08-07 21:00:00,2020080721,3.0,0.0,0.0,0.0
2020,202008,2020-08-07,2020-08-07 22:00:00,2020080722,1.0,1.0,1.0,0.0
2020,202008,2020-08-07,2020-08-07 23:00:00,2020080723,1.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 00:00:00,2020080800,3.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 01:00:00,2020080801,1.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 02:00:00,2020080802,1.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 03:00:00,2020080803,0.0,2.0,2.0,0.0
2020,202008,2020-08-08,2020-08-08 04:00:00,2020080804,0.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 05:00:00,2020080805,1.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 06:00:00,2020080806,2.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 07:00:00,2020080807,1.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 08:00:00,2020080808,2.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 09:00:00,2020080809,2.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 10:00:00,2020080810,2.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 11:00:00,2020080811,0.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 13:00:00,2020080813,1.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 14:00:00,2020080814,0.0,2.0,2.0,1.0
2020,202008,2020-08-08,2020-08-08 15:00:00,2020080815,2.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 16:00:00,2020080816,0.0,2.0,2.0,0.0
2020,202008,2020-08-08,2020-08-08 17:00:00,2020080817,2.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 18:00:00,2020080818,4.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 19:00:00,2020080819,1.0,1.0,1.0,0.0
2020,202008,2020-08-08,2020-08-08 20:00:00,2020080820,3.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 21:00:00,2020080821,1.0,1.0,1.0,1.0
2020,202008,2020-08-08,2020-08-08 22:00:00,2020080822,1.0,0.0,0.0,0.0
2020,202008,2020-08-08,2020-08-08 23:00:00,2020080823,0.0,2.0,2.0,0.0
2020,202008,2020-08-09,2020-08-09 00:00:00,2020080900,1.0,2.0,2.0,0.0
2020,202008,2020-08-09,2020-08-09 01:00:00,2020080901,0.0,1.0,1.0,0.0
2020,202008,2020-08-09,2020-08-09 02:00:00,2020080902,0.0,3.0,3.0,0.0
2020,202008,2020-08-09,2020-08-09 03:00:00,2020080903,0.0,1.0,1.0,0.0
2020,202008,2020-08-09,2020-08-09 04:00:00,2020080904,0.0,1.0,1.0,0.0
2020,202008,2020-08-09,2020-08-09 06:00:00,2020080906,0.0,1.0,1.0,0.0
2020,202008,2020-08-09,2020-08-09 08:00:00,2020080908,1.0,0.0,0.0,0.0
2020,202008,2020-08-09,2020-08-09 09:00:00,2020080909,1.0,0.0,0.0,0.0
2020,202008,2020-08-09,2020-08-09 10:00:00,2020080910,2.0,0.0,0.0,0.0
2020,202008,2020-08-09,2020-08-09 12:00:00,2020080912,1.0,0.0,0.0,0.0
2020,202008,2020-08-09,2020-08-09 14:00:00,2020080914,1.0,1.0,1.0,0.0
2020,202008,2020-08-09,2020-08-09 15:00:00,2020080915,2.0,1.0,1.0,0.0
